+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[29]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[23]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[21]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[24]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[19]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[21]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[25]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[19]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[25]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[25]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[19]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[19]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[25]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[25]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[26]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[25]/D|
